age,gender,education,marital_status,num_dependents,annual_income,credit_score,existing_debt,num_credit_cards,months_employed,loan_amount,loan_term_months,loan_purpose,interest_rate,property_ownership,loan_default
33,Male,Bachelor,Married,0,25600.0,622.0,18700,0.0,118.0,51900,48,Education,11.5,Mortgage,1
62,Male,High School,Married,2,38300.0,512.0,6400,6.0,130.0,37700,36,Car,5.75,Mortgage,1
35,Male,Bachelor,Single,3,56000.0,659.0,33400,4.0,44.0,1500,36,Personal,10.83,Rent,1
64,Male,Bachelor,Single,4,20000.0,685.0,5100,7.0,31.0,16000,48,Car,4.06,Own,1
41,Male,Bachelor,Married,1,28100.0,,8700,3.0,7.0,1000,60,Home,8.56,Own,1
43,Male,Master,Married,0,115600.0,779.0,88100,2.0,76.0,27000,12,Education,10.15,Rent,1
42,Female,Master,Divorced,0,47400.0,624.0,13500,4.0,140.0,44500,36,Home,10.4,Mortgage,1
62,Male,Bachelor,Married,3,73500.0,618.0,42000,4.0,106.0,34800,12,Personal,13.57,Rent,1
58,Female,Master,Married,0,49800.0,823.0,11200,7.0,67.0,3800,48,Medical,15.63,Rent,0
46,Male,Bachelor,Married,0,34700.0,550.0,5700,7.0,0.0,41700,24,Personal,9.72,Mortgage,0
32,Female,Bachelor,Divorced,3,65200.0,600.0,22000,5.0,,39500,48,Car,4.55,Own,1
62,Female,Master,Married,4,75700.0,679.0,40600,6.0,25.0,43500,36,Personal,19.93,Own,0
18,Female,Bachelor,Single,2,22600.0,740.0,6200,1.0,108.0,38300,48,Education,11.93,Rent,1
42,Female,Bachelor,Married,2,31600.0,725.0,9800,2.0,3.0,18700,36,Home,11.59,Rent,0
24,Male,High School,Married,1,35700.0,567.0,21300,0.0,36.0,2700,36,Home,7.22,Mortgage,0
26,Female,Bachelor,Married,4,38100.0,780.0,6600,4.0,7.0,39100,36,Personal,8.13,Own,0
41,Male,Master,Single,1,77300.0,687.0,31900,2.0,52.0,34300,36,Personal,6.02,Rent,0
18,Female,Master,Divorced,2,91100.0,584.0,69200,1.0,75.0,1300,48,Home,10.52,Rent,0
61,Male,Master,Divorced,3,63700.0,591.0,24100,3.0,49.0,13400,48,Personal,7.11,Rent,1
25,Male,Master,Single,0,75800.0,656.0,30600,2.0,76.0,13800,36,Personal,10.66,Own,0
41,Female,Bachelor,Divorced,2,66500.0,822.0,41000,6.0,45.0,33700,36,Car,6.28,Mortgage,0
28,Female,Bachelor,Single,4,66100.0,667.0,42700,6.0,10.0,24800,12,Medical,11.35,Rent,1
68,Female,High School,Single,2,33300.0,821.0,21300,0.0,23.0,21800,48,Home,9.35,Mortgage,0
34,Female,Bachelor,Single,4,38400.0,720.0,30700,6.0,151.0,20000,24,Personal,12.31,Rent,0
25,Female,Bachelor,Single,4,43500.0,,6500,4.0,16.0,11500,60,Medical,14.83,Rent,0
52,Male,PhD,Married,4,77700.0,,61200,3.0,3.0,36600,36,Car,9.35,Mortgage,0
52,Male,Bachelor,Single,1,47000.0,574.0,36000,7.0,23.0,16300,36,Personal,12.6,Own,1
50,Male,Bachelor,Single,3,25500.0,601.0,17800,1.0,22.0,38900,24,Home,12.61,Own,1
22,Male,Bachelor,Single,2,55300.0,672.0,23100,0.0,31.0,8300,12,Personal,8.44,Rent,0
59,Female,Bachelor,Single,3,56400.0,648.0,40000,7.0,39.0,19100,36,Home,9.28,Mortgage,1
56,Male,Master,Single,0,67500.0,721.0,17200,3.0,234.0,48600,36,Personal,9.31,Rent,0
58,Female,High School,Married,2,28500.0,690.0,18600,5.0,68.0,27800,24,Education,7.19,Rent,1
45,Male,Bachelor,Single,3,34700.0,641.0,8000,5.0,2.0,19100,48,Medical,7.22,Own,1
24,Female,Master,Divorced,3,49300.0,786.0,33100,1.0,60.0,17500,36,Car,12.17,Own,0
26,Female,Bachelor,Married,0,31500.0,612.0,16700,0.0,83.0,14600,24,Personal,6.37,Own,0
25,Male,Bachelor,Single,4,82800.0,570.0,14000,6.0,108.0,30400,48,Car,8.05,Mortgage,0
29,Male,Bachelor,Divorced,2,38100.0,687.0,27700,4.0,26.0,35800,60,Car,7.52,Mortgage,0
51,Male,Master,Single,2,87100.0,649.0,43900,1.0,18.0,28000,36,Car,9.88,Own,1
50,Male,High School,Single,0,658112.0,670.0,16000,6.0,88.0,24300,48,Personal,15.4,Own,0
65,Male,Master,Single,4,63200.0,709.0,18900,3.0,72.0,32200,48,Education,7.93,Own,1
40,Male,Master,Single,2,53800.0,635.0,38200,0.0,37.0,8100,60,Education,4.18,Own,1
41,Male,Bachelor,Married,2,23600.0,799.0,11400,5.0,6.0,29500,24,Personal,8.82,Mortgage,1
54,Female,PhD,Married,2,,671.0,47100,5.0,51.0,30200,60,Personal,5.58,Rent,0
52,Female,Master,Single,4,68100.0,614.0,32300,2.0,3.0,28200,36,Home,9.27,Own,1
61,Female,Master,Married,0,52200.0,697.0,30900,0.0,5.0,18300,36,Education,6.21,Rent,1
57,Male,Master,Single,2,72900.0,643.0,42800,3.0,19.0,15700,36,Home,8.99,Own,0
39,Female,High School,Married,3,36700.0,659.0,12900,,22.0,9400,24,Personal,4.92,Rent,1
44,Male,High School,Single,4,63900.0,562.0,23600,2.0,30.0,42600,48,Personal,7.7,Mortgage,1
52,Male,Bachelor,Single,1,58800.0,571.0,29000,6.0,20.0,24300,36,Personal,5.52,Rent,0
18,Female,Bachelor,Single,0,26100.0,735.0,19500,3.0,2.0,19900,36,Personal,12.26,Own,1
52,Male,Bachelor,Single,3,33300.0,,20700,6.0,8.0,18700,24,Education,6.33,Rent,1
54,Female,Master,Married,2,66500.0,640.0,24800,6.0,6.0,13500,36,Car,10.16,Mortgage,0
64,Female,Master,Married,1,80800.0,676.0,27100,0.0,27.0,18600,36,Car,9.04,Own,0
31,Male,Bachelor,Single,0,71100.0,763.0,33200,6.0,11.0,39500,36,Home,9.1,Own,1
20,Male,Master,Married,4,63300.0,611.0,44900,5.0,17.0,32000,36,Personal,9.62,Rent,1
18,Male,Master,Married,1,91700.0,711.0,9700,,31.0,34900,12,Education,10.31,Rent,0
22,Female,Bachelor,Divorced,1,59500.0,640.0,35500,5.0,13.0,36500,36,Personal,12.42,Own,0
43,Male,High School,Single,3,33500.0,476.0,10300,6.0,14.0,51400,48,Personal,11.3,Own,0
31,Male,Bachelor,Married,0,23200.0,,5700,7.0,86.0,25300,24,Personal,13.08,Own,0
56,Male,Master,Divorced,3,95400.0,645.0,10400,5.0,38.0,19900,24,Education,5.31,Rent,0
44,Female,Bachelor,Married,3,49300.0,,35900,0.0,93.0,30200,36,Home,4.48,Own,0
26,Male,Bachelor,Married,2,49700.0,599.0,36700,6.0,35.0,32800,36,Car,13.47,Mortgage,1
32,Male,High School,Single,4,15000.0,607.0,2100,7.0,115.0,24600,36,Medical,10.19,Rent,1
32,Female,Master,Single,1,48300.0,746.0,22500,3.0,14.0,14300,60,Home,5.31,Rent,0
43,Female,Master,Married,0,55700.0,623.0,11500,2.0,46.0,27200,48,Home,7.66,Rent,0
59,Male,Master,Married,4,78800.0,497.0,49700,2.0,34.0,31500,48,Medical,10.11,Mortgage,1
30,Male,PhD,Single,4,105700.0,689.0,59800,4.0,120.0,29200,36,Personal,8.36,Mortgage,0
68,Male,Master,Married,0,74900.0,719.0,23100,2.0,26.0,2900,24,Personal,10.34,Mortgage,0
49,Female,Master,Married,4,63400.0,718.0,11500,2.0,93.0,5900,36,Home,4.98,Rent,0
56,Male,PhD,Married,2,101500.0,601.0,69200,3.0,40.0,33600,60,Personal,8.41,Mortgage,0
66,Female,Master,Married,4,58300.0,,33300,1.0,59.0,20500,60,Medical,8.85,Rent,0
69,Female,Bachelor,Married,2,54000.0,693.0,5700,1.0,105.0,51700,36,Personal,6.38,Rent,0
49,Female,High School,Single,1,29500.0,727.0,15900,3.0,277.0,41100,24,Car,7.65,Own,1
21,Male,Bachelor,Divorced,1,37300.0,690.0,24900,2.0,63.0,9800,24,Personal,7.11,Rent,1
47,Female,Bachelor,Single,3,39500.0,712.0,20300,0.0,18.0,37300,12,Personal,5.17,Own,0
54,Female,Bachelor,Single,2,45000.0,591.0,17900,5.0,17.0,44200,48,Education,6.65,Own,1
40,Female,Bachelor,Single,1,56800.0,467.0,28900,6.0,18.0,19700,24,Car,9.07,Own,1
56,Male,PhD,Single,4,117800.0,734.0,62900,5.0,5.0,24000,36,Personal,5.58,Mortgage,0
62,Female,Master,Single,0,63600.0,574.0,34900,7.0,3.0,18400,48,Personal,6.48,Own,1
32,Male,Master,Single,0,61400.0,636.0,47700,1.0,42.0,11500,24,Personal,3.39,Rent,1
60,Male,Bachelor,Married,2,45000.0,715.0,10100,7.0,80.0,43900,36,Home,12.82,Mortgage,1
46,Male,High School,Single,3,33500.0,652.0,18000,3.0,2.0,1000,24,Car,11.28,Rent,1
53,Female,High School,Married,4,34600.0,706.0,8000,7.0,40.0,16900,36,Car,12.11,Rent,1
30,Male,Bachelor,Single,2,29800.0,846.0,7400,0.0,22.0,19900,12,Personal,9.58,Mortgage,0
49,Male,High School,Divorced,0,41700.0,694.0,23700,2.0,107.0,26900,36,Personal,9.38,Rent,0
24,Male,High School,Married,2,29600.0,592.0,21900,3.0,8.0,10100,48,Home,7.87,Own,1
68,Male,Master,Single,4,98800.0,534.0,20900,7.0,40.0,41300,48,Personal,12.4,Mortgage,0
39,Female,Master,Married,1,57900.0,704.0,44800,1.0,170.0,3000,36,Medical,8.57,Own,0
45,Female,Bachelor,Married,4,54000.0,657.0,17500,6.0,20.0,3100,48,Home,3.0,Mortgage,0
19,Male,High School,Married,1,41300.0,540.0,15400,0.0,65.0,25700,24,Car,3.0,Own,0
59,Male,Bachelor,Married,1,58900.0,744.0,12200,0.0,103.0,9600,48,Home,9.59,Rent,0
62,Female,High School,Married,1,33900.0,708.0,18000,1.0,10.0,27500,24,Education,5.62,Rent,0
23,Male,PhD,Married,2,71900.0,649.0,37200,0.0,235.0,16100,36,Home,8.79,Mortgage,0
45,Male,Bachelor,Married,0,41000.0,825.0,16800,5.0,80.0,34700,24,Medical,10.78,Rent,0
45,Female,Bachelor,Single,2,68400.0,,29600,6.0,7.0,13900,24,Personal,6.01,Mortgage,0
61,Female,Bachelor,Married,0,56700.0,571.0,30400,1.0,18.0,42300,60,Education,7.6,Rent,0
61,Male,High School,Married,4,40500.0,744.0,20600,5.0,47.0,32600,24,Home,7.71,Mortgage,0
37,Female,Bachelor,Married,3,70300.0,670.0,25400,3.0,104.0,15900,36,Medical,5.9,Rent,1
47,Male,Master,Single,4,94900.0,801.0,68200,4.0,10.0,32500,36,Car,4.21,Own,0
28,Female,Bachelor,Married,2,67700.0,725.0,38400,6.0,63.0,26800,36,Personal,5.22,Mortgage,0
45,Male,High School,Divorced,2,68700.0,689.0,16700,2.0,15.0,34400,60,Education,4.02,Own,0
42,Male,Bachelor,Single,0,75400.0,684.0,24400,3.0,79.0,32200,60,Home,7.97,Rent,0
56,Male,Bachelor,Married,2,37500.0,555.0,24400,5.0,55.0,29300,36,Medical,7.93,Mortgage,0
50,Female,Master,Married,1,96600.0,609.0,16700,2.0,36.0,25800,12,Personal,6.92,Mortgage,0
18,Female,Bachelor,Married,2,62600.0,667.0,39100,2.0,50.0,35900,24,Home,4.24,Rent,0
44,Male,Bachelor,Married,0,38700.0,540.0,13600,5.0,100.0,39000,36,Car,11.82,Rent,1
69,Male,Bachelor,Single,0,46600.0,687.0,22700,5.0,23.0,26600,24,Personal,6.63,Rent,0
30,Female,Bachelor,Divorced,1,54900.0,591.0,16300,6.0,70.0,32300,36,Home,16.2,Mortgage,1
58,Male,Bachelor,Married,0,48500.0,619.0,38300,1.0,8.0,36200,48,Home,11.1,Mortgage,1
20,Male,Bachelor,Single,3,53000.0,707.0,38900,4.0,,44300,36,Medical,3.0,Rent,0
56,Female,Bachelor,Single,4,34800.0,606.0,26100,6.0,67.0,42200,24,Personal,12.2,Rent,1
23,Male,Master,Married,2,71400.0,688.0,16400,5.0,28.0,37400,36,Personal,6.39,Own,0
25,Female,Bachelor,Single,3,54000.0,662.0,37200,2.0,76.0,20000,48,Car,5.72,Own,0
44,Female,PhD,Single,2,81300.0,565.0,38600,2.0,39.0,9200,36,Car,7.68,Mortgage,0
26,Male,Bachelor,Divorced,3,48000.0,721.0,28600,3.0,132.0,31700,24,Education,11.9,Mortgage,0
54,Male,PhD,Single,2,70400.0,,17800,4.0,6.0,31600,36,Personal,10.07,Mortgage,0
50,Male,Master,Married,1,33900.0,729.0,20300,4.0,7.0,20200,36,Medical,9.05,Mortgage,1
68,Female,Bachelor,Single,0,15000.0,803.0,11100,7.0,89.0,9000,24,Car,6.03,Rent,0
59,Female,Master,Married,0,82700.0,617.0,23800,7.0,89.0,44900,60,Car,11.33,Rent,1
61,Female,High School,Married,1,51400.0,494.0,13500,2.0,31.0,30100,48,Personal,5.55,Rent,1
41,Male,PhD,Single,3,126100.0,597.0,21800,4.0,160.0,10500,48,Education,11.63,Rent,0
32,Female,Bachelor,Married,4,70700.0,727.0,20300,3.0,55.0,23500,60,Home,9.5,Rent,1
49,Female,High School,Single,3,35000.0,643.0,16600,1.0,195.0,8900,48,Home,6.71,Rent,0
49,Female,Bachelor,Divorced,0,55700.0,538.0,38000,2.0,36.0,33200,48,Personal,14.88,Rent,1
41,Female,PhD,Divorced,4,105700.0,515.0,31200,0.0,11.0,47200,36,Personal,11.24,Mortgage,1
58,Female,High School,Married,2,37400.0,764.0,20000,2.0,28.0,22800,36,Car,10.18,Mortgage,0
69,Female,Bachelor,Married,4,45900.0,699.0,20000,2.0,189.0,23900,12,Car,8.81,Mortgage,0
66,Female,Master,Single,3,80100.0,610.0,24200,1.0,22.0,21700,24,Home,5.07,Rent,1
66,Male,Master,Married,1,73100.0,801.0,33400,5.0,151.0,22300,36,Home,8.61,Rent,0
69,Male,Bachelor,Married,2,41700.0,850.0,9100,7.0,77.0,15700,36,Car,13.31,Own,0
29,Female,High School,Single,3,35800.0,733.0,19600,5.0,28.0,41600,36,Car,4.37,Own,0
56,Male,High School,Married,2,25500.0,710.0,4600,0.0,37.0,27300,36,Personal,10.2,Rent,1
19,Female,Bachelor,Single,4,38400.0,692.0,23500,7.0,45.0,25800,48,Education,12.68,Own,0
20,Female,Bachelor,Married,0,76300.0,718.0,17100,0.0,53.0,22300,12,Personal,12.83,Rent,0
66,Female,PhD,Single,3,87900.0,807.0,70200,0.0,4.0,9700,24,Personal,5.8,Rent,0
54,Male,High School,Married,1,30900.0,,20900,7.0,130.0,36300,24,Home,6.87,Own,1
66,Male,Bachelor,Single,4,66500.0,623.0,22700,5.0,44.0,42100,24,Home,8.8,Rent,0
34,Male,High School,Single,3,22000.0,646.0,8800,6.0,128.0,2700,36,Personal,9.86,Own,1
66,Female,High School,Married,1,28200.0,696.0,7900,1.0,48.0,33500,48,Personal,12.35,Own,0
19,Female,Bachelor,Divorced,3,66800.0,775.0,42600,4.0,27.0,35300,24,Education,7.9,Own,0
19,Female,Bachelor,Married,4,,683.0,21000,0.0,40.0,40400,48,Home,11.34,Own,0
45,Male,Bachelor,Single,3,19200.0,700.0,12100,7.0,85.0,39500,60,Personal,3.0,Rent,1
40,Female,Master,Single,2,104400.0,704.0,11800,4.0,19.0,56600,36,Home,7.7,Rent,0
54,Female,Bachelor,Divorced,4,65100.0,652.0,12700,3.0,150.0,29800,48,Home,11.33,Rent,0
49,Male,PhD,Married,3,69200.0,617.0,24600,7.0,30.0,36900,24,Personal,11.0,Own,0
50,Female,Master,Single,0,27700.0,656.0,4900,1.0,150.0,25100,48,Personal,5.63,Own,1
18,Male,Bachelor,Divorced,3,64800.0,598.0,33700,4.0,102.0,15400,24,Medical,11.58,Mortgage,0
36,Male,Master,Married,2,40700.0,599.0,5500,5.0,70.0,33500,48,Home,4.24,Rent,0
19,Female,Bachelor,Divorced,1,67500.0,679.0,47400,6.0,30.0,36900,36,Education,12.09,Rent,0
61,Male,High School,Divorced,1,35900.0,612.0,22700,5.0,42.0,29100,60,Medical,7.89,Rent,1
43,Female,Master,Divorced,1,84400.0,798.0,21200,0.0,87.0,5100,36,Personal,7.15,Mortgage,0
49,Female,High School,Single,0,,662.0,18600,6.0,38.0,7600,12,Education,7.61,Rent,0
23,Female,Bachelor,Single,2,64800.0,759.0,27000,0.0,64.0,34200,36,Personal,9.64,Rent,0
49,Male,Master,Married,4,72000.0,550.0,43700,6.0,75.0,20600,48,Home,14.74,Own,0
21,Female,High School,Married,1,48600.0,553.0,18500,4.0,35.0,29300,36,Home,12.15,Rent,0
28,Female,High School,Married,2,41300.0,641.0,5100,5.0,37.0,30800,60,Car,5.06,Rent,0
34,Female,Master,Married,3,70200.0,725.0,20500,4.0,11.0,23600,48,Medical,5.38,Own,0
55,Male,Bachelor,Married,0,30200.0,611.0,12900,3.0,13.0,21900,36,Personal,3.0,Own,0
41,Male,High School,Married,2,31100.0,642.0,24300,7.0,113.0,23400,24,Personal,9.43,Mortgage,1
22,Female,Bachelor,Single,2,46700.0,730.0,33500,1.0,88.0,32100,12,Home,7.99,Mortgage,0
69,Male,Bachelor,Single,4,48600.0,619.0,11000,5.0,0.0,30800,60,Personal,10.38,Mortgage,1
51,Female,Bachelor,Married,2,80300.0,589.0,48700,2.0,98.0,15400,60,Car,7.0,Mortgage,0
23,Female,PhD,Married,4,57300.0,707.0,43300,5.0,1.0,24800,24,Home,7.31,Own,0
39,Male,Bachelor,Single,0,52800.0,546.0,5600,3.0,,12300,36,Medical,4.14,Mortgage,0
28,Female,Bachelor,Married,0,32300.0,620.0,19500,5.0,3.0,31200,48,Home,11.81,Own,1
65,Female,Master,Married,3,62700.0,659.0,26400,3.0,166.0,19400,36,Education,6.69,Rent,0
33,Female,Master,Married,4,97200.0,692.0,56000,5.0,172.0,33600,48,Car,5.99,Mortgage,0
50,Female,High School,Single,4,,716.0,18500,3.0,45.0,22100,12,Home,11.4,Own,0
26,Female,High School,Married,1,52200.0,728.0,41200,6.0,24.0,38700,60,Car,4.07,Mortgage,0
23,Male,High School,Single,1,52900.0,626.0,16000,0.0,34.0,41000,36,Car,10.15,Rent,0
33,Male,Bachelor,Divorced,3,54000.0,,35100,4.0,69.0,30300,36,Car,6.2,Rent,0
