transaction_amount,transaction_hour,transaction_day,merchant_category,payment_method,customer_age,account_age_months,avg_monthly_spend,num_transactions_30d,num_countries_30d,failed_transactions_7d,velocity_1h,distance_from_home_km,is_foreign_transaction,is_fraud
37.68,12,Tue,Online,Debit,21,43,1121.6,18,1,0.0,1,47.3,0,0
19.15,3,Sun,Grocery,Credit,62,3,1278.89,43,2,3.0,1,,0,1
61.79,6,Fri,Healthcare,Credit,34,101,912.45,54,1,4.0,1,,1,1
429.47,16,Fri,Online,Debit,79,22,617.33,29,1,5.0,2,12.0,0,0
58.56,8,Tue,Grocery,Credit,50,100,635.61,19,4,1.0,1,105.9,0,0
109.72,3,Tue,Online,Prepaid,22,4,469.7,25,1,3.0,2,7.3,0,1
,18,Fri,Restaurant,Credit,45,108,1124.4,4,1,0.0,1,6.3,0,0
67.8,0,Wed,Restaurant,Debit,41,4,425.5,51,1,2.0,1,2.5,0,1
535.17,9,Tue,Online,Debit,34,22,1636.14,13,1,2.0,1,18.2,0,1
492.3,3,Thu,Healthcare,Credit,67,100,438.84,32,4,2.0,1,1.9,0,0
43.51,8,Mon,Grocery,Credit,56,10,1289.16,27,1,2.0,1,29.0,1,0
103.15,12,Wed,Restaurant,Debit,65,1,1291.32,51,1,0.0,1,50.3,0,0
53.69,13,Wed,Restaurant,Debit,57,57,1049.74,34,1,0.0,1,53.7,0,0
50.29,9,Mon,Restaurant,Credit,61,33,1448.23,28,1,0.0,2,,1,0
5.64,5,Sun,Restaurant,Credit,63,26,721.51,9,1,1.0,1,16.3,0,0
141.07,15,Tue,Grocery,Credit,68,1,851.31,8,1,0.0,4,2.0,0,1
104.78,5,Mon,Gas,Credit,28,38,889.77,21,1,0.0,3,17.0,1,0
7.93,16,Tue,Restaurant,Credit,29,7,1036.05,46,1,0.0,3,33.7,0,0
48.99,9,Fri,Grocery,Credit,30,96,72.41,30,1,0.0,1,15.4,0,1
358.33,17,Wed,Online,Debit,25,42,757.55,29,1,3.0,3,41.1,0,0
41.08,21,Thu,Online,Debit,18,44,1143.29,9,5,1.0,1,32.4,0,0
23.48,17,Mon,Restaurant,Prepaid,26,10,651.23,13,1,1.0,1,6.5,1,0
100.84,2,Mon,Electronics,Debit,45,77,1583.83,18,4,0.0,1,19.9,0,0
636.61,19,Wed,Gas,Prepaid,19,28,851.21,38,1,2.0,5,0.1,0,1
41.57,20,Sat,Electronics,Debit,31,70,1005.81,55,2,0.0,1,10.1,1,1
167.27,14,Sat,Electronics,Debit,30,11,1420.4,22,1,0.0,4,5.4,0,0
215.08,14,Mon,Online,Prepaid,65,51,851.77,31,1,2.0,1,55.3,0,1
40.7,3,Thu,Grocery,Debit,19,31,1413.86,35,1,1.0,4,10.4,1,1
195.41,8,Sun,Grocery,Credit,21,2,1033.26,42,1,1.0,4,21.2,0,1
68.78,18,Wed,Grocery,Debit,29,19,1034.03,42,2,0.0,5,26.3,0,0
150.08,23,Sat,Grocery,Prepaid,65,7,444.34,10,1,0.0,1,29.7,0,1
150.58,16,Mon,Grocery,Debit,27,16,1242.58,9,1,0.0,4,26.6,0,1
115.11,10,Sun,Healthcare,Debit,20,17,557.44,31,3,0.0,5,6.8,0,1
14.19,8,Fri,Electronics,Debit,21,23,725.45,44,1,0.0,1,23.2,0,0
270.55,9,Sun,Grocery,Prepaid,23,33,1303.68,56,1,0.0,1,15.9,0,0
,17,Fri,Electronics,Credit,40,30,653.3,40,1,0.0,2,,0,0
30.96,19,Wed,ATM,Debit,22,1,939.12,24,1,0.0,1,0.0,0,0
6.24,12,Sun,Travel,Credit,67,50,778.45,41,2,3.0,3,6.0,0,0
134.07,7,Tue,Restaurant,Debit,20,107,792.4,49,1,1.0,1,53.4,0,0
169.78,6,Wed,ATM,Debit,27,15,740.22,8,1,2.0,1,6.9,1,1
2.51,16,Fri,Restaurant,Credit,60,7,385.53,50,1,0.0,1,11.5,0,0
107.64,20,Fri,Restaurant,Credit,36,28,1018.06,20,1,0.0,1,4.1,0,0
38.52,22,Sun,Grocery,Debit,31,44,1053.65,17,1,0.0,1,3.0,0,0
155.42,14,Tue,Restaurant,Credit,38,41,567.21,28,1,,3,4.7,0,0
,19,Fri,Electronics,Credit,77,34,623.08,6,1,0.0,1,16.1,0,0
176.13,14,Fri,Gas,Debit,60,6,1165.2,42,2,0.0,3,50.3,0,0
73.34,0,Mon,Electronics,Credit,45,65,694.48,33,1,1.0,3,7.9,0,1
414.05,13,Wed,Travel,Credit,38,20,837.04,28,1,0.0,1,7.8,0,0
22.19,4,Tue,Grocery,Prepaid,53,9,447.36,53,1,2.0,1,16.6,0,1
,10,Tue,Grocery,Credit,41,3,774.61,57,4,,1,8.8,0,0
18.07,15,Sun,Restaurant,Credit,71,19,449.53,1,1,0.0,1,48.3,0,0
387.93,1,Fri,ATM,Debit,55,35,558.01,41,5,0.0,1,9.5,1,0
314.75,7,Fri,Restaurant,Debit,34,39,494.33,52,5,1.0,1,13.5,0,0
44.75,10,Sun,Gas,Prepaid,39,118,1145.31,35,2,0.0,5,15.2,1,1
161.81,17,Wed,Electronics,Prepaid,36,6,268.17,24,1,0.0,1,30.5,0,1
254.92,2,Sat,Grocery,Debit,62,153,906.67,6,1,1.0,2,16.6,0,0
121.52,0,Wed,Grocery,Credit,71,38,,7,1,4.0,6,5.5,0,1
113.14,10,Sat,Electronics,Credit,27,22,1358.5,9,3,1.0,4,2.6,0,1
41.53,15,Tue,Grocery,Credit,78,79,1111.79,37,2,0.0,4,55.5,0,1
14.66,17,Sun,Grocery,Credit,28,43,304.01,16,5,0.0,3,32.3,0,0
341.27,15,Tue,Online,Debit,78,15,575.79,34,1,0.0,1,0.5,0,1
346.02,22,Wed,Grocery,Debit,55,78,794.43,35,1,0.0,4,34.5,0,1
150.4,9,Fri,Travel,Credit,19,40,575.71,35,1,0.0,5,17.9,0,0
62.11,17,Wed,Restaurant,Debit,50,43,1163.31,20,1,0.0,1,,1,0
64.44,5,Thu,Travel,Credit,60,82,867.98,58,1,2.0,1,,0,0
194.17,18,Wed,Travel,Credit,48,21,722.66,23,1,1.0,1,30.4,0,0
341.11,3,Fri,Electronics,Debit,65,39,1192.36,42,4,1.0,1,4.4,0,1
327.17,12,Tue,Electronics,Credit,52,49,329.06,54,1,3.0,1,26.0,0,1
227.03,23,Mon,Online,Credit,54,22,693.79,35,3,0.0,2,0.3,0,0
154.1,13,Tue,ATM,Credit,64,3,899.2,47,3,0.0,2,31.8,1,1
13.18,2,Wed,Grocery,Credit,64,53,743.47,46,1,1.0,1,0.5,0,0
26.44,9,Tue,Grocery,Debit,53,2,50.0,23,1,5.0,1,5.4,0,1
343.23,5,Wed,ATM,Prepaid,40,46,935.61,4,1,0.0,3,6.2,0,1
139.87,0,Wed,Restaurant,Credit,53,87,1001.09,10,1,0.0,1,3.4,0,0
1.39,22,Mon,Travel,Credit,57,15,394.98,43,1,1.0,1,13.1,0,0
16.05,23,Thu,Restaurant,Debit,56,4,50.0,11,1,0.0,2,6.7,0,0
163.37,13,Sat,Grocery,Prepaid,43,10,,40,5,0.0,1,100.1,0,0
1.0,7,Mon,Gas,Credit,42,30,718.61,55,1,0.0,1,17.3,1,0
26.3,18,Thu,Travel,Credit,34,103,755.79,55,1,2.0,1,16.7,0,0
119.35,13,Fri,Grocery,Debit,32,26,50.0,9,2,0.0,3,5.0,0,0
176.6,9,Wed,Restaurant,Debit,54,4,881.29,40,1,2.0,2,10.5,0,1
158.32,16,Fri,Online,Credit,62,36,1211.55,12,1,0.0,1,2.6,0,0
38.09,8,Wed,Gas,Debit,21,48,1182.72,17,2,0.0,1,28.8,0,0
186.81,5,Thu,Grocery,Credit,39,18,1288.74,32,1,3.0,2,8.0,0,0
40.62,10,Mon,Travel,Credit,34,46,314.81,23,1,0.0,4,27.9,0,0
59.05,6,Fri,Online,Credit,39,14,1151.62,15,4,0.0,2,9.3,0,1
,16,Fri,Online,Debit,34,56,426.47,51,1,0.0,3,89.8,0,1
157.32,0,Mon,Gas,Credit,31,15,1115.7,28,1,1.0,1,,0,1
283.79,21,Wed,Grocery,Credit,31,11,505.06,52,1,0.0,2,0.0,1,1
160.77,4,Sun,Online,Credit,34,76,940.81,38,1,0.0,4,18.1,0,0
126.01,8,Wed,Gas,Debit,25,29,1414.07,5,4,1.0,3,61.1,0,0
14.75,17,Thu,Grocery,Credit,51,12,1173.17,40,2,0.0,4,20.8,0,0
68.76,23,Sun,Restaurant,Credit,43,98,431.09,18,1,0.0,1,1.8,0,1
46.22,20,Fri,Restaurant,Credit,62,42,344.45,53,5,1.0,4,15.6,0,0
41.96,1,Thu,Gas,Debit,47,9,1110.54,21,2,0.0,2,48.0,1,1
,10,Fri,Grocery,Credit,39,34,1327.79,15,1,0.0,4,0.1,0,0
74.91,5,Sat,Gas,Credit,33,74,971.92,3,1,0.0,1,,0,1
333.91,7,Wed,ATM,Credit,47,43,595.53,46,1,2.0,2,33.7,0,0
149.6,3,Wed,Online,Debit,33,10,816.75,26,1,0.0,3,44.9,0,1
237.57,17,Wed,ATM,Debit,55,38,972.98,15,1,0.0,1,24.6,0,0
104.77,10,Sun,Healthcare,Debit,71,35,764.18,45,1,1.0,2,95.5,0,0
129.02,4,Fri,Grocery,Debit,41,62,431.49,53,1,0.0,3,1.9,0,0
101.74,14,Mon,Gas,Prepaid,53,7,1225.5,20,3,0.0,1,15.8,0,1
32.58,17,Sat,Restaurant,Credit,52,43,1551.31,59,2,0.0,1,23.1,0,0
192.26,1,Thu,Online,Prepaid,23,1,1370.62,21,1,1.0,2,24.3,0,1
49.44,21,Mon,Electronics,Credit,21,43,50.0,26,3,0.0,1,31.5,0,0
3.69,10,Thu,Healthcare,Credit,35,116,,41,1,2.0,1,49.9,1,0
155.55,12,Wed,Gas,Debit,23,7,1031.28,23,1,1.0,1,9.0,1,0
29.24,3,Sat,Online,Credit,43,13,537.09,49,1,0.0,1,0.9,0,1
423.16,21,Tue,Grocery,Credit,54,31,50.0,51,3,0.0,1,9.0,0,0
461.63,6,Sat,Grocery,Credit,44,47,,25,4,3.0,1,22.3,0,1
369.53,10,Thu,Online,Debit,162,15,945.47,4,2,0.0,2,4.8,0,0
69.34,21,Mon,Grocery,Credit,28,39,357.26,52,4,0.0,2,33.2,1,1
2.34,23,Sun,Online,Debit,55,83,1292.9,10,1,0.0,3,5.0,0,0
395.33,3,Thu,Grocery,Debit,79,47,1283.21,22,3,0.0,1,0.2,0,0
83.84,14,Tue,Gas,Debit,33,45,987.17,3,1,0.0,1,14.2,0,0
510.13,0,Wed,Restaurant,Credit,36,17,250.87,19,1,0.0,1,25.9,1,1
497.06,22,Sat,Gas,Prepaid,60,87,695.17,31,1,0.0,3,8.6,0,0
287.61,2,Tue,Gas,Credit,70,12,1089.48,9,1,0.0,2,27.6,0,0
52.32,13,Tue,Restaurant,Credit,32,8,,29,1,1.0,4,11.5,0,0
72.94,5,Mon,Grocery,Credit,43,16,520.39,37,1,5.0,1,3.8,0,0
285.71,17,Tue,Grocery,Debit,73,38,579.04,46,1,0.0,2,1.9,1,1
57.17,0,Fri,Gas,Credit,58,71,510.07,7,1,0.0,1,24.8,1,0
27.86,5,Wed,Travel,Credit,73,5,686.84,53,1,0.0,3,9.7,0,0
122.06,5,Tue,Online,Credit,48,61,605.32,38,1,0.0,1,48.8,0,1
412.69,20,Tue,Travel,Credit,36,60,532.43,24,1,0.0,1,,0,0
178.62,15,Wed,Restaurant,Debit,74,32,744.95,8,4,0.0,1,8.6,0,0
126.62,4,Sun,Restaurant,Debit,68,51,816.0,34,2,3.0,2,8.6,0,1
15.33,16,Wed,Grocery,Debit,41,7,1234.82,59,1,0.0,1,2.8,0,0
143.18,9,Sun,Restaurant,Credit,75,7,87.49,57,4,0.0,1,18.0,0,0
691.59,20,Thu,Healthcare,Credit,26,72,1287.71,26,1,0.0,1,17.5,0,0
22.64,17,Tue,ATM,Prepaid,40,25,501.07,28,1,0.0,5,32.2,0,1
109.57,6,Sat,Restaurant,Credit,21,10,1544.2,28,1,2.0,1,4.5,0,0
314.79,2,Wed,Gas,Debit,27,42,1069.28,46,1,0.0,4,6.9,1,1
202.51,12,Fri,Online,Credit,26,80,1018.94,54,1,3.0,5,2.0,0,1
179.11,14,Sun,Restaurant,Prepaid,36,36,758.39,7,1,0.0,5,7.0,0,0
181.84,19,Mon,Grocery,Credit,32,15,1625.21,3,1,0.0,4,11.2,0,0
66.82,18,Mon,Grocery,Credit,68,24,787.76,52,1,5.0,4,66.5,0,1
52.13,2,Fri,Travel,Debit,51,50,1404.68,22,2,0.0,1,21.2,0,0
248.61,3,Tue,Healthcare,Debit,59,3,570.19,55,1,0.0,1,30.5,0,0
249.2,4,Tue,Gas,Credit,36,9,1086.64,38,2,1.0,2,7.9,0,1
302.69,0,Mon,Grocery,Debit,66,22,1559.27,53,1,0.0,1,3.1,1,1
366.69,3,Mon,Grocery,Debit,69,33,460.81,46,4,1.0,1,5.9,0,1
107.41,11,Fri,Online,Credit,73,15,996.5,44,1,0.0,2,5.9,0,0
104.43,23,Mon,Online,Credit,38,13,517.45,18,3,0.0,2,,1,1
240.14,9,Wed,Gas,Credit,51,2,971.87,12,2,0.0,4,8.4,1,1
157.46,22,Thu,Gas,Credit,68,1,1557.6,31,1,2.0,2,39.0,1,0
181.58,20,Wed,Grocery,Debit,34,12,426.63,39,1,0.0,2,89.4,0,0
238.29,19,Mon,Online,Credit,35,27,862.4,5,1,0.0,1,8.4,0,0
331.1,23,Fri,Online,Credit,34,29,466.21,44,4,0.0,1,24.4,0,1
61.87,12,Mon,Electronics,Credit,19,25,748.29,41,1,0.0,5,21.4,0,1
70.64,22,Fri,Online,Credit,68,19,1048.49,29,1,0.0,1,4.3,0,0
14.8,13,Sat,Grocery,Credit,18,10,680.73,43,1,0.0,1,50.0,0,0
129.51,22,Wed,Grocery,Credit,60,18,1429.57,36,1,1.0,2,4.4,0,0
5.49,4,Thu,Grocery,Credit,74,5,993.34,14,1,0.0,1,26.7,0,0
93.99,3,Wed,Grocery,Prepaid,27,4,270.64,58,3,0.0,1,8.5,0,1
117.34,13,Wed,Restaurant,Credit,54,13,927.92,44,1,0.0,1,9.1,0,0
50.64,9,Sat,Restaurant,Debit,65,193,1384.45,18,5,0.0,1,12.2,0,0
,16,Sat,Travel,Credit,73,14,1016.97,7,1,,1,40.0,0,1
,9,Wed,Restaurant,Credit,22,99,904.3,23,1,0.0,4,3.0,0,0
5.71,6,Thu,Electronics,Credit,73,18,680.99,33,1,0.0,1,1.1,0,0
259.4,15,Sun,Grocery,Credit,72,21,761.19,59,2,0.0,1,10.3,0,0
66.99,0,Sun,Gas,Prepaid,29,57,804.34,45,1,1.0,1,1.1,0,1
20.38,16,Thu,Restaurant,Prepaid,53,4,50.0,16,1,4.0,1,23.3,0,0
110.8,20,Wed,Electronics,Debit,48,7,985.48,37,1,0.0,4,28.6,0,0
220.45,8,Tue,ATM,Debit,72,131,1198.68,51,1,0.0,1,38.6,0,0
36.47,5,Sun,Online,Credit,55,25,500.83,25,2,0.0,7,27.2,0,1
146.28,18,Mon,Online,Credit,68,2,892.99,9,1,0.0,1,49.6,0,0
13.38,12,Thu,Restaurant,Prepaid,26,2,941.44,55,1,0.0,3,27.6,0,0
7.96,2,Tue,Grocery,Debit,61,86,1124.12,28,1,2.0,1,55.0,0,1
113.69,6,Tue,Gas,Debit,43,74,,9,1,0.0,1,4.3,1,0
116.69,21,Wed,Grocery,Credit,32,22,1015.85,12,1,1.0,1,13.9,0,1
152.18,8,Sun,Restaurant,Credit,33,6,335.36,18,1,0.0,2,,0,0
,21,Mon,Grocery,Prepaid,30,64,394.3,27,1,1.0,1,22.9,0,1
558.53,4,Thu,Online,Credit,42,14,972.46,26,1,0.0,1,42.2,0,0
108.94,9,Mon,Grocery,Credit,47,20,708.16,56,1,0.0,3,0.6,0,0
