age,gender,education,department,job_level,years_at_company,years_in_role,num_companies_worked,monthly_income,overtime,work_life_balance,job_satisfaction,relationship_satisfaction,environment_satisfaction,training_last_year,performance_rating,distance_from_home,business_travel,attrition
56,Female,Master,Finance,Senior,4.2,2.2,3,9700.0,No,4.0,4,2,4.0,0.0,3,4,Travel_Rarely,0
35,Male,Master,Marketing,Senior,0.1,0.1,4,7700.0,No,1.0,1,2,,3.0,4,14,Travel_Rarely,1
38,Male,Bachelor,Sales,Mid,0.1,0.1,4,6200.0,No,3.0,3,3,2.0,1.0,3,25,Non-Travel,1
57,Male,High School,Engineering,Senior,0.6,0.5,7,6300.0,Yes,3.0,4,4,2.0,4.0,3,17,Non-Travel,0
25,Female,Bachelor,Finance,Junior,1.2,0.8,7,4600.0,No,3.0,2,2,4.0,3.0,4,3,Non-Travel,0
23,Male,Bachelor,Marketing,Mid,2.2,1.0,5,4100.0,No,2.0,3,4,3.0,2.0,4,26,Travel_Frequently,1
27,Male,Master,Sales,Junior,2.7,1.8,6,4800.0,No,4.0,3,4,4.0,3.0,3,2,Travel_Rarely,0
25,Female,Master,Operations,Junior,0.6,0.3,6,5700.0,No,3.0,3,3,4.0,0.0,3,18,Travel_Rarely,0
50,Female,PhD,Operations,Junior,4.5,3.5,7,7400.0,Yes,2.0,3,3,3.0,6.0,4,17,Travel_Rarely,0
39,Male,Bachelor,Engineering,Mid,3.6,2.3,1,6400.0,No,2.0,2,2,1.0,4.0,3,13,Travel_Frequently,1
47,Male,Bachelor,Marketing,Mid,1.4,1.2,7,7900.0,No,2.0,3,4,1.0,4.0,3,19,Non-Travel,0
55,Male,PhD,HR,Manager,0.1,0.1,5,12800.0,No,2.0,3,2,2.0,2.0,3,10,Non-Travel,0
31,Male,Master,Engineering,Junior,0.3,0.2,1,5800.0,No,4.0,2,3,2.0,4.0,4,21,Travel_Rarely,1
57,Male,Bachelor,Engineering,Senior,2.0,0.9,4,8700.0,No,2.0,4,3,3.0,1.0,4,22,Travel_Frequently,1
35,Female,Master,Finance,Lead,0.7,0.7,6,8700.0,No,4.0,3,4,3.0,4.0,4,24,Travel_Rarely,0
52,Female,Master,Marketing,Mid,1.9,1.7,6,194121.0,No,3.0,3,3,3.0,5.0,3,4,Non-Travel,0
36,Female,Master,Engineering,Junior,4.0,3.4,1,5900.0,No,2.0,4,1,4.0,2.0,3,17,Travel_Rarely,0
29,Male,Master,Finance,Junior,3.2,1.7,2,6700.0,Yes,2.0,3,3,3.0,4.0,2,28,Travel_Frequently,1
170,Female,PhD,Finance,Junior,1.1,0.7,5,5800.0,Yes,3.0,1,4,,3.0,4,16,Travel_Rarely,1
44,Male,PhD,Finance,Mid,1.7,0.7,5,7700.0,No,3.0,3,3,4.0,0.0,3,25,Travel_Rarely,0
42,Female,Master,Sales,Senior,3.8,2.6,5,9600.0,Yes,4.0,4,4,3.0,5.0,3,19,Travel_Rarely,1
37,Female,Bachelor,Operations,Junior,7.9,3.2,6,2900.0,No,3.0,3,4,1.0,5.0,3,24,Travel_Frequently,1
39,Male,PhD,Engineering,Junior,5.6,3.8,3,7300.0,No,3.0,4,3,3.0,3.0,3,14,Travel_Rarely,0
45,Female,Master,Engineering,Senior,3.2,2.4,6,9800.0,No,1.0,1,2,3.0,6.0,3,20,Travel_Rarely,0
47,Male,Master,Engineering,Senior,1.8,1.0,3,10200.0,No,4.0,2,1,3.0,5.0,3,27,Non-Travel,0
46,Female,Bachelor,HR,Mid,1.8,1.2,6,7100.0,Yes,4.0,3,4,2.0,1.0,4,15,Travel_Rarely,0
50,Male,High School,Operations,Senior,8.5,7.8,4,8200.0,No,3.0,3,4,2.0,1.0,3,19,Travel_Rarely,0
36,Male,Master,Engineering,Mid,0.2,0.1,6,6200.0,No,1.0,2,2,3.0,0.0,2,3,Non-Travel,0
22,Female,Bachelor,Marketing,Junior,17.7,15.1,4,3900.0,No,3.0,4,3,2.0,0.0,3,20,Travel_Frequently,0
46,Male,Bachelor,Sales,Mid,4.4,1.8,3,7900.0,No,3.0,2,4,3.0,0.0,3,20,Travel_Rarely,0
28,Female,High School,HR,Mid,4.6,1.5,5,4900.0,Yes,3.0,1,3,3.0,0.0,1,16,Non-Travel,1
30,Male,Bachelor,Operations,Manager,0.2,0.1,3,8500.0,No,3.0,4,4,3.0,4.0,4,28,Travel_Frequently,0
45,Female,High School,Marketing,Junior,3.7,3.1,1,5600.0,No,4.0,3,1,2.0,5.0,4,7,Non-Travel,0
22,Female,Master,Sales,Mid,2.7,1.6,5,6100.0,No,2.0,4,4,2.0,3.0,3,18,Travel_Rarely,0
29,Male,Master,HR,Mid,0.4,0.4,6,6700.0,No,3.0,2,3,4.0,1.0,4,8,Travel_Rarely,0
45,Male,Bachelor,Engineering,Mid,1.3,0.9,6,4500.0,Yes,1.0,1,3,3.0,4.0,3,27,Travel_Frequently,1
32,Male,Bachelor,Engineering,Junior,8.8,2.8,6,3000.0,No,2.0,4,3,4.0,0.0,3,14,Travel_Frequently,0
38,Male,High School,Marketing,Mid,3.2,2.6,6,5800.0,Yes,,4,3,3.0,2.0,3,18,Travel_Rarely,1
181,Male,Bachelor,Marketing,Lead,2.1,0.8,6,7700.0,No,3.0,3,3,3.0,2.0,3,1,Travel_Rarely,0
56,Female,PhD,Engineering,Mid,0.3,0.3,3,8600.0,No,4.0,1,3,3.0,3.0,4,24,Travel_Rarely,1
56,Female,Bachelor,Operations,Mid,5.0,2.1,7,7300.0,No,3.0,3,3,4.0,,4,20,Travel_Frequently,0
54,Female,Bachelor,Finance,Mid,4.9,2.7,4,,Yes,4.0,2,3,4.0,6.0,4,6,Non-Travel,0
26,Female,Bachelor,Engineering,Mid,3.8,3.2,7,5300.0,No,3.0,4,3,4.0,1.0,4,13,Travel_Rarely,0
49,Female,Master,HR,Mid,2.9,2.8,3,7300.0,No,1.0,2,4,4.0,3.0,3,1,Non-Travel,0
28,Female,High School,Finance,Lead,2.3,1.3,2,8100.0,No,4.0,4,1,3.0,6.0,3,19,Non-Travel,0
30,Male,Bachelor,HR,Manager,3.6,3.2,7,8500.0,Yes,2.0,3,3,1.0,0.0,3,7,Non-Travel,1
29,Female,Bachelor,HR,Mid,1.1,0.5,3,5100.0,No,3.0,3,1,3.0,0.0,3,23,Non-Travel,1
33,Female,Bachelor,HR,Mid,11.3,9.8,5,,Yes,3.0,4,3,2.0,5.0,3,27,Travel_Frequently,1
55,Male,Master,Sales,Lead,3.6,2.7,6,9600.0,No,1.0,1,2,1.0,1.0,4,24,Travel_Frequently,1
54,Male,Bachelor,Marketing,Mid,1.5,0.7,3,7000.0,No,1.0,4,4,3.0,1.0,4,16,Travel_Rarely,0
44,Male,High School,HR,Mid,2.4,1.2,7,7200.0,No,3.0,2,1,3.0,1.0,3,14,Travel_Rarely,1
45,Male,Master,Sales,Junior,6.6,2.6,4,6900.0,No,2.0,3,3,3.0,6.0,2,2,Travel_Rarely,0
58,Female,Master,Marketing,Senior,0.7,0.4,7,10900.0,No,3.0,3,4,3.0,0.0,3,7,Travel_Frequently,0
56,Male,Bachelor,Operations,Mid,1.4,0.6,6,8100.0,Yes,3.0,4,2,3.0,2.0,3,20,Travel_Frequently,1
43,Male,High School,Operations,Lead,4.6,3.5,7,7600.0,No,,1,4,4.0,3.0,4,22,Non-Travel,1
48,Female,Bachelor,Engineering,Senior,1.5,1.5,1,,No,3.0,3,4,3.0,3.0,3,20,Travel_Rarely,0
56,Male,Bachelor,Sales,Junior,6.3,1.9,2,5800.0,No,,3,3,3.0,4.0,3,15,Travel_Rarely,0
22,Male,Master,HR,Senior,0.6,0.4,5,7700.0,Yes,1.0,2,2,3.0,4.0,4,25,Travel_Frequently,1
56,Male,Master,Sales,Lead,5.8,4.1,4,10600.0,Yes,3.0,2,2,4.0,2.0,3,14,Travel_Rarely,0
58,Female,Bachelor,Operations,Mid,0.3,0.3,2,7600.0,No,2.0,3,2,3.0,1.0,3,1,Travel_Frequently,0
35,Female,Bachelor,Sales,Junior,0.1,0.1,3,4500.0,No,3.0,2,2,1.0,2.0,3,17,Travel_Frequently,1
24,Male,PhD,Engineering,Junior,9.1,6.2,2,6100.0,No,3.0,3,1,2.0,6.0,3,16,Travel_Rarely,0
22,Female,Bachelor,Engineering,Mid,3.5,2.2,6,5700.0,Yes,2.0,4,4,3.0,6.0,4,5,Travel_Frequently,0
26,Male,PhD,Engineering,Mid,1.7,0.8,6,9100.0,Yes,1.0,4,3,2.0,4.0,1,21,Travel_Rarely,0
47,Female,Master,Marketing,Mid,1.1,0.4,1,,No,3.0,3,3,3.0,5.0,3,27,Travel_Rarely,1
35,Female,Bachelor,Engineering,Junior,3.8,2.2,2,5200.0,No,2.0,3,2,2.0,4.0,3,24,Travel_Rarely,1
48,Female,Master,Sales,Lead,2.8,0.9,7,9600.0,No,2.0,1,3,,3.0,3,23,Non-Travel,1
30,Male,Bachelor,Engineering,Junior,19.1,13.1,2,5100.0,No,,3,3,2.0,6.0,1,27,Travel_Rarely,0
36,Female,PhD,HR,Junior,16.3,8.4,6,6300.0,No,2.0,4,4,4.0,2.0,4,3,Travel_Rarely,0
36,Female,Master,Sales,Mid,4.0,2.7,3,7100.0,No,3.0,2,2,3.0,0.0,3,24,Travel_Rarely,0
47,Male,Bachelor,Finance,Mid,2.3,0.9,3,7500.0,Yes,2.0,3,4,2.0,4.0,4,20,Travel_Frequently,1
34,Female,Master,HR,Junior,2.7,2.6,5,4900.0,No,4.0,4,3,3.0,3.0,3,19,Travel_Frequently,0
53,Male,High School,Finance,Junior,4.6,4.3,7,6400.0,No,2.0,3,4,3.0,1.0,3,2,Travel_Rarely,0
53,Female,Bachelor,Operations,Junior,0.4,0.2,7,153827.0,No,3.0,3,1,3.0,2.0,4,25,Travel_Rarely,0
25,Male,High School,Operations,Senior,1.6,0.9,3,6300.0,No,3.0,2,1,3.0,4.0,3,14,Travel_Rarely,1
51,Female,Bachelor,Operations,Senior,0.3,0.2,2,8200.0,No,4.0,3,3,4.0,0.0,3,28,Travel_Rarely,0
58,Male,Bachelor,Engineering,Mid,0.3,0.1,1,7400.0,No,4.0,2,4,3.0,4.0,3,23,Non-Travel,0
44,Male,Bachelor,Sales,Senior,0.9,0.5,3,7200.0,No,2.0,3,4,4.0,0.0,3,21,Travel_Rarely,0
36,Male,Bachelor,Engineering,Senior,2.7,1.3,7,7600.0,No,4.0,3,3,1.0,2.0,3,25,Travel_Rarely,0
50,Male,Bachelor,Operations,Junior,6.1,5.7,7,5000.0,No,3.0,4,1,4.0,5.0,3,19,Non-Travel,1
57,Male,Bachelor,Operations,Manager,2.7,2.4,6,12100.0,No,4.0,2,3,3.0,0.0,3,13,Travel_Frequently,0
34,Male,High School,Operations,Lead,1.6,1.1,6,7300.0,Yes,4.0,3,3,2.0,0.0,3,13,Travel_Rarely,0
53,Female,PhD,Sales,Junior,0.3,0.2,5,8400.0,Yes,3.0,3,3,2.0,3.0,3,29,Non-Travel,1
28,Male,Master,Operations,Junior,3.2,3.0,5,5600.0,No,3.0,2,2,3.0,5.0,4,6,Travel_Rarely,0
43,Male,Bachelor,Engineering,Junior,1.3,1.2,2,6900.0,No,3.0,3,2,2.0,2.0,4,24,Non-Travel,1
49,Female,Bachelor,Sales,Junior,3.8,3.7,3,6300.0,No,,2,3,4.0,4.0,3,9,Non-Travel,0
23,Male,Bachelor,Engineering,Senior,15.1,5.9,3,7000.0,No,2.0,2,4,4.0,5.0,2,20,Travel_Frequently,0
27,Female,Master,Sales,Mid,0.5,0.2,5,7200.0,No,1.0,2,3,2.0,1.0,2,1,Travel_Frequently,1
49,Female,High School,HR,Senior,1.0,0.8,3,7100.0,Yes,1.0,3,3,1.0,2.0,3,24,Non-Travel,1
49,Female,Bachelor,Engineering,Senior,2.6,1.8,2,8000.0,No,4.0,4,4,,5.0,4,10,Travel_Frequently,0
41,Female,Bachelor,HR,Senior,13.8,4.3,1,7500.0,Yes,2.0,1,2,2.0,2.0,3,3,Non-Travel,0
51,Female,Master,Finance,Senior,5.9,2.0,6,9400.0,No,1.0,4,1,1.0,1.0,3,6,Non-Travel,0
32,Male,Bachelor,Operations,Junior,9.1,8.4,2,4700.0,No,2.0,3,4,2.0,4.0,3,16,Non-Travel,1
49,Male,Bachelor,Finance,Mid,1.6,1.5,3,6100.0,No,3.0,3,3,4.0,6.0,2,20,Non-Travel,0
46,Male,Master,Engineering,Senior,19.3,10.6,2,9500.0,Yes,,3,3,,3.0,3,6,Travel_Rarely,0
54,Female,Master,Marketing,Junior,0.4,0.4,6,,No,3.0,4,2,3.0,5.0,3,12,Travel_Frequently,0
22,Male,Bachelor,Operations,Junior,0.2,0.1,4,3900.0,No,2.0,4,3,2.0,4.0,3,3,Non-Travel,1
48,Female,Bachelor,Sales,Lead,7.7,6.7,7,10400.0,No,4.0,4,3,3.0,1.0,3,23,Travel_Rarely,0
34,Female,High School,HR,Senior,10.5,6.3,6,6000.0,Yes,1.0,4,3,1.0,4.0,3,18,Travel_Rarely,1
24,Female,Bachelor,Engineering,Junior,0.4,0.2,7,4800.0,No,4.0,2,3,3.0,2.0,4,21,Travel_Rarely,0
27,Male,Bachelor,Sales,Senior,0.5,0.3,6,7600.0,No,1.0,4,3,1.0,3.0,2,3,Travel_Rarely,0
29,Male,Bachelor,Finance,Senior,0.1,0.1,4,7700.0,No,,4,4,3.0,0.0,2,5,Travel_Rarely,0
48,Female,Bachelor,Operations,Mid,0.4,0.3,3,6000.0,Yes,1.0,2,4,3.0,5.0,3,19,Non-Travel,1
30,Female,Bachelor,Sales,Junior,0.9,0.3,3,5400.0,Yes,4.0,4,4,1.0,4.0,3,25,Travel_Rarely,1
58,Male,PhD,Marketing,Manager,14.0,13.9,1,13200.0,No,2.0,3,4,4.0,0.0,3,24,Non-Travel,0
54,Male,Bachelor,Operations,Mid,4.4,2.1,6,7200.0,No,1.0,4,2,2.0,3.0,1,18,Non-Travel,0
45,Female,Bachelor,Operations,Junior,6.0,2.6,2,5600.0,No,4.0,4,4,1.0,6.0,3,8,Travel_Rarely,0
36,Female,Master,Engineering,Mid,6.0,4.0,1,6700.0,No,1.0,4,3,4.0,0.0,3,24,Travel_Rarely,0
53,Female,Master,Operations,Senior,3.1,2.1,3,8200.0,Yes,3.0,4,4,2.0,4.0,2,10,Travel_Rarely,0
53,Female,High School,Engineering,Junior,6.4,3.9,3,6600.0,Yes,3.0,1,2,1.0,,4,19,Travel_Rarely,1
45,Male,High School,HR,Junior,3.6,3.0,5,4700.0,Yes,3.0,2,4,3.0,5.0,3,10,Travel_Rarely,1
33,Male,Bachelor,Sales,Junior,1.5,1.0,1,6300.0,No,3.0,1,1,2.0,2.0,3,21,Travel_Rarely,0
23,Male,PhD,Sales,Manager,3.3,2.4,3,11400.0,No,4.0,1,2,4.0,6.0,3,2,Travel_Rarely,0
24,Male,Master,Marketing,Junior,3.1,2.5,4,6100.0,Yes,4.0,3,4,,2.0,3,10,Travel_Frequently,1
58,Male,High School,Engineering,Mid,6.9,2.2,7,7800.0,No,3.0,3,4,1.0,5.0,4,22,Travel_Frequently,0
38,Female,Master,Engineering,Manager,16.0,11.2,5,11100.0,No,2.0,3,3,4.0,0.0,4,18,Travel_Rarely,0
23,Female,High School,Sales,Junior,2.1,1.9,2,4500.0,No,2.0,3,3,2.0,2.0,3,4,Non-Travel,1
23,Female,PhD,Finance,Manager,5.8,1.8,7,12000.0,No,2.0,4,2,4.0,5.0,4,3,Travel_Rarely,0
49,Male,Bachelor,Sales,Manager,0.4,0.2,5,10400.0,No,3.0,3,3,2.0,5.0,3,17,Non-Travel,0
44,Female,Master,Marketing,Lead,6.0,5.7,6,9900.0,No,4.0,3,1,1.0,2.0,3,24,Travel_Rarely,0
58,Female,High School,Sales,Junior,1.9,1.0,6,6500.0,Yes,3.0,2,4,,1.0,3,24,Non-Travel,1
53,Female,High School,Sales,Senior,0.2,0.1,2,8800.0,Yes,3.0,2,3,2.0,0.0,3,17,Travel_Rarely,0
54,Female,Bachelor,Engineering,Senior,1.8,1.8,4,7700.0,Yes,,3,4,3.0,1.0,1,28,Non-Travel,0
22,Male,Master,HR,Manager,3.8,1.7,2,10900.0,Yes,2.0,3,3,1.0,1.0,3,22,Travel_Frequently,0
40,Male,Bachelor,Engineering,Junior,0.5,0.2,1,5400.0,No,3.0,3,3,3.0,3.0,2,12,Non-Travel,0
23,Male,Bachelor,Engineering,Senior,10.3,9.3,7,6600.0,No,3.0,3,3,,0.0,4,17,Travel_Rarely,0
47,Male,Bachelor,Operations,Mid,0.3,0.3,2,6100.0,Yes,3.0,2,3,3.0,6.0,2,13,Travel_Frequently,0
53,Male,Bachelor,Finance,Junior,10.6,6.7,2,6000.0,No,1.0,1,2,2.0,1.0,3,9,Non-Travel,1
27,Female,PhD,Sales,Mid,4.9,3.2,5,8800.0,No,3.0,4,4,3.0,4.0,4,1,Travel_Frequently,0
53,Female,Bachelor,Engineering,Senior,1.6,1.4,4,8100.0,No,2.0,2,3,2.0,2.0,3,15,Travel_Rarely,1
25,Female,PhD,Operations,Mid,2.0,1.6,2,7500.0,No,2.0,3,3,2.0,0.0,3,19,Travel_Frequently,0
32,Female,Bachelor,Engineering,Mid,5.4,2.6,1,5100.0,No,3.0,4,1,4.0,3.0,4,9,Travel_Frequently,1
38,Male,Bachelor,Sales,Manager,3.7,1.2,5,11300.0,Yes,2.0,2,1,3.0,1.0,3,17,Non-Travel,1
59,Female,Bachelor,Marketing,Mid,4.5,2.9,4,7800.0,No,4.0,3,3,1.0,4.0,3,15,Travel_Frequently,0
45,Male,Bachelor,Finance,Senior,2.0,1.8,4,7700.0,No,2.0,3,4,2.0,2.0,4,2,Non-Travel,0
26,Male,Bachelor,Finance,Mid,2.7,2.5,3,7000.0,No,3.0,4,3,2.0,2.0,2,4,Non-Travel,1
55,Male,Bachelor,Sales,Mid,18.4,17.8,6,6500.0,No,4.0,2,2,4.0,6.0,4,7,Non-Travel,0
27,Male,Master,Sales,Senior,1.0,0.9,7,6800.0,No,3.0,4,2,1.0,4.0,2,8,Non-Travel,1
43,Male,Bachelor,Finance,Manager,2.2,1.6,1,10600.0,No,4.0,1,4,3.0,0.0,3,1,Travel_Rarely,0
32,Male,Bachelor,Sales,Mid,1.4,0.9,6,5100.0,No,3.0,3,3,3.0,2.0,3,1,Travel_Rarely,0
37,Male,Bachelor,HR,Senior,5.8,4.9,5,7300.0,No,4.0,3,4,4.0,2.0,4,5,Travel_Rarely,0
54,Female,High School,HR,Junior,5.8,4.7,5,5800.0,No,2.0,2,1,2.0,2.0,3,8,Travel_Rarely,1
30,Male,High School,Engineering,Junior,1.4,0.9,1,5400.0,No,2.0,2,4,3.0,5.0,4,1,Travel_Frequently,1
27,Male,Master,Operations,Mid,0.3,0.1,4,6200.0,No,3.0,2,4,,1.0,3,3,Non-Travel,0
37,Male,Bachelor,Marketing,Junior,0.0,0.0,2,5600.0,Yes,3.0,3,4,3.0,1.0,3,22,Non-Travel,1
50,Female,Bachelor,Marketing,Junior,2.2,1.4,1,6100.0,No,,1,1,3.0,2.0,3,29,Travel_Rarely,1
24,Male,High School,Sales,Mid,2.1,1.2,5,5600.0,No,2.0,4,4,1.0,3.0,2,17,Travel_Frequently,0
41,Male,Bachelor,Sales,Junior,17.8,13.2,6,4600.0,Yes,1.0,2,3,3.0,5.0,4,3,Travel_Rarely,1
57,Male,Bachelor,HR,Junior,2.5,1.9,7,5600.0,No,2.0,4,3,3.0,2.0,3,28,Travel_Rarely,1
40,Male,Bachelor,Sales,Mid,1.2,0.5,1,5700.0,No,3.0,4,3,2.0,0.0,3,1,Non-Travel,0
47,Male,Bachelor,Operations,Mid,8.9,7.9,4,,No,2.0,3,4,2.0,6.0,4,4,Non-Travel,0
24,Male,Bachelor,Sales,Manager,2.7,1.4,7,10200.0,Yes,2.0,3,4,2.0,6.0,4,9,Travel_Rarely,1
40,Male,PhD,HR,Senior,3.7,1.6,7,9800.0,No,1.0,2,3,1.0,5.0,3,13,Travel_Rarely,0
41,Male,Bachelor,Engineering,Mid,0.4,0.2,7,7100.0,Yes,3.0,4,3,,3.0,3,5,Travel_Rarely,1
53,Male,Master,Finance,Manager,1.9,1.5,3,12000.0,No,4.0,3,3,3.0,0.0,3,14,Travel_Rarely,0
28,Female,Bachelor,Sales,Senior,11.5,11.2,7,6300.0,No,3.0,4,3,2.0,4.0,4,19,Travel_Rarely,0
54,Male,Bachelor,Engineering,Junior,3.6,3.1,3,5400.0,No,1.0,3,3,2.0,4.0,4,26,Travel_Rarely,1
39,Male,High School,Engineering,Junior,1.7,1.6,2,6000.0,No,2.0,4,3,3.0,1.0,3,23,Non-Travel,0
22,Male,Bachelor,Operations,Senior,3.9,1.6,2,6200.0,Yes,3.0,3,4,3.0,5.0,3,14,Travel_Rarely,1
32,Female,PhD,Sales,Mid,9.7,3.4,7,7200.0,No,3.0,4,1,4.0,1.0,3,22,Non-Travel,1
49,Male,Master,Operations,Senior,1.3,0.9,4,9400.0,No,3.0,2,4,4.0,1.0,3,27,Non-Travel,0
46,Male,Bachelor,Marketing,Senior,2.8,1.4,6,7300.0,Yes,4.0,3,4,3.0,5.0,4,25,Travel_Rarely,1
44,Female,High School,Engineering,Senior,12.7,11.2,2,6100.0,No,4.0,3,3,2.0,6.0,4,4,Travel_Rarely,0
52,Male,Bachelor,Marketing,Manager,0.8,0.6,3,10400.0,No,2.0,3,4,,4.0,3,4,Travel_Rarely,0
51,Male,High School,Sales,Mid,5.1,5.0,4,6300.0,No,2.0,3,3,3.0,5.0,4,9,Non-Travel,0
56,Male,Bachelor,Operations,Junior,3.8,1.8,7,5400.0,Yes,3.0,3,2,4.0,0.0,3,2,Travel_Frequently,1
28,Female,High School,HR,Lead,4.6,2.9,4,7300.0,No,3.0,2,3,2.0,3.0,3,10,Non-Travel,0
37,Male,Bachelor,Engineering,Junior,1.7,1.1,4,4700.0,No,3.0,3,4,3.0,1.0,3,18,Travel_Frequently,1
